dx_id	name	created_by	created
project-G8jzpbj48YGZXkQz5k29vzjf	004_220311_A01295_0066_AH3FWMDRX2_MYE_new_capture_run1	user-aishadahir	2022-03-16
project-G7Y9zpj4kFXF78JjFgj70q3V	003_220118_TWE-popAF	user-garnerm	2022-01-18
project-G983V4847FF4PYXx1Y8xv762	003_220408_dx-find-test	user-garnerm	2022-04-08
project-G8v9g4j4VVpG02Fj5f8BKQVK	003_220321_dias_qc	user-aishadahir	2022-03-21
project-G7yV5kj44JfqvF65FG5KJ0vJ	003_220204_Haemonc_requests	user-aishadahir	2022-02-04
project-G91X1404fVkvpK9bPPzpXzBV	003_220318_A01295_0071_BH332KDRX2_PC	user-toutoua	2022-03-29
project-G1Kq5Kj4vvkY02f929p0bj22	002_180604_K00178	user-toutoua	2021-03-26
project-G3zvK604x7134xG60699bFV1	002_210723_K00178_0337_BHLKFJBBXY_MYE	user-aishadahir	2021-07-27
project-Fx9Y0y04pZ0K1zbJ69b747XQ	002_200710_K00178_0269_AHH757BBXY_clinicalgenetics	user-garnerm	2020-09-05
project-Fxpyf7j40JgJVvgp5ZxFfQp3	002_160629_160701_NS500192	user-toutoua	2020-10-01
project-G1KpVq04BJ5ZG7BY36XPx18j	002_170814_170816_NS500192_171109_K00178	user-toutoua	2021-03-26
project-G1KpPzj4X0F0KxGz0KZP6y2G	002_170721_170724_NS500192	user-toutoua	2021-03-26
project-FxqP6V849GzJ5jy3B0v0Z4B3	002_170310_170313_NS500192	user-toutoua	2020-10-02
project-FxqP7v84VBQF17qvB6B6YfV9	002_170324_170327_NS500192	user-toutoua	2020-10-02
project-Fx2Y4jj4k2Y2f0f9FJg60xbK	002_150526_150528_NS500192	user-ykim	2020-08-25
project-G1zJF9j4XXjV00j5JVJvfQqP	002_160922_K00178	user-ykim	2021-04-20
project-G1qQ8Z04JKFfqPY94bVzv9J5	002_170710_NS500192_170712_NB501067	user-toutoua	2021-04-14
project-Fy23P8j4FQ5K3Vv7G9gzZZ17	002_150216_150218_NS500192	user-ykim	2020-10-12
project-G39PKv049kG3zJfk5710vzyb	002_210618_K00178_0333_AHLK7GBBXY_MYE	user-aishadahir	2021-06-23
project-G0z6Xv84z9BBfgKg4YX7fBjX	002_161202_161205_NS500192	user-ykim	2021-03-02
project-Fzf9zq04BKbYp3k717qBPj97	002_161207_161209_NS500192	user-toutoua	2020-12-30
project-Fvz6vbQ45yK1VyfJ9Vvzp97x	002_170421_170424_NS500192	user-ykim	2020-08-20
project-Fyg909Q4yZ29K1zyFQjYKxQ1	002_160212_160215_NS500192	user-ykim	2020-11-13
project-FxqP9KQ4YjyKjPfkJ2k5X32K	002_170814_170816_NS500192	user-toutoua	2020-10-02
